Kod,Nazev,Kategorie
A711,Aktivní stadium trachomu,Zánětlivá onemocnění oka
A719,Trachom NS,Zánětlivá onemocnění oka
A74,Jiné nemoci způsobené chlamydiemi,
A740,Chlamydiová konjunktivitida (H13.1*),Zánětlivá onemocnění očních adnex a očnice
A748,Jiná chlamydiová onemocnění,Infekční a parazitární nemoci nezařazené jinde
A749,Chlamydiová infekce NS,Infekční a parazitární nemoci nezařazené jinde
A75,Skvrnitý tyfus,
A750,"Epidemický skvrnitý tyfus, přenášený vší‚ pův.: Rickettsia prowazekii",Infekční a parazitární nemoci nezařazené jinde
A751,Recidivující skvrnitý tyfus (Brillova–Zinsserova nemoc),Infekční a parazitární nemoci nezařazené jinde
A752,Endemický skvrnitý tyfus‚ původce: Rickettsia typhi,Infekční a parazitární nemoci nezařazené jinde
A753,Skvrnitý tyfus‚ původce: Rickettsia tsutsugamushi,Infekční a parazitární nemoci nezařazené jinde
A759,Skvrnitý tyfus NS,Infekční a parazitární nemoci nezařazené jinde
A77,Purpurová horečka (rickettsióza přenášená klíštětem),
A770,Purpurová horečka‚ původce: Rickettsia rickettsii,Infekční a parazitární nemoci nezařazené jinde
A771,Purpurová horečka‚ původce: Rickettsia conorii,Infekční a parazitární nemoci nezařazené jinde
A772,Purpurová horečka‚ původce: Rickettsia sibirica,Infekční a parazitární nemoci nezařazené jinde
A773,Purpurová horečka‚ původce: Rickettsia australis,Infekční a parazitární nemoci nezařazené jinde
A778,Jiná purpurová horečka,Infekční a parazitární nemoci nezařazené jinde
A779,Purpurová horečka NS,Infekční a parazitární nemoci nezařazené jinde
A78,Q horečka,Infekční a parazitární nemoci nezařazené jinde
A79,Jiné rickettsiózy,
A790,"Zákopová horečka, původce: Rickettsia quintana",Infekční a parazitární nemoci nezařazené jinde
A791,Rickettsiové neštovice‚ původce: Rickettsia akari,Infekční a parazitární nemoci nezařazené jinde
A798,Jiné určené rickettsiózy,Infekční a parazitární nemoci nezařazené jinde
A799,Rickettsióza NS,Infekční a parazitární nemoci nezařazené jinde
A80,Akutní poliomyelitida – akutní dětská obrna,
A800,Akutní paralytická poliomyelitida‚ spojená s vakcinací (s očk. látkou),Infekční onemocnění nervové soustavy
A801,Akutní paralytická poliomyelitida‚ divoký virus importovaný,Infekční onemocnění nervové soustavy
A802,Akutní paralytická poliomyelitida‚ divoký virus tuzemský,Infekční onemocnění nervové soustavy
A803,Akutní paralytická poliomyelitida‚ jiná a NS,Infekční onemocnění nervové soustavy
A804,Akutní neparalytická poliomyelitida,Infekční a parazitární nemoci nezařazené jinde
A809,Akutní poliomyelitida NS,Infekční onemocnění nervové soustavy
A81,Atypické virové infekce centrální nervové soustavy,
A810,Creutzfeldtova-Jakobova nemoc,Infekční onemocnění nervové soustavy
A811,Subakutní sklerotizující panencefalitida,Infekční onemocnění nervové soustavy
A812,Progresivní multifokální leukoencefalopatie,Infekční onemocnění nervové soustavy
A818,Jiné atypické virové infekce CNS,Infekční onemocnění nervové soustavy
A819,Atypické virové infekce centrální nervové soustavy NS,Infekční onemocnění nervové soustavy
A82,Vzteklina – rabies – lyssa,
A820,Sylvatická (lesní) vzteklina,Infekční onemocnění nervové soustavy
A821,Urbánní (městská) vzteklina,Infekční onemocnění nervové soustavy
A829,Vzteklina NS,Infekční onemocnění nervové soustavy
A83,Virová encefalitida přenášená komáry,
A830,Japonská encefalitida,Infekční onemocnění nervové soustavy
A831,Západní koňská encefalitida,Infekční onemocnění nervové soustavy
A832,Východní koňská encefalitida,Infekční onemocnění nervové soustavy
A833,St. Louiská encefalitida,Infekční onemocnění nervové soustavy
A834,Australská encefalitida,Infekční onemocnění nervové soustavy
A835,Kalifornská encefalitida,Infekční onemocnění nervové soustavy
A836,"Encefalitida, původce: virus Rocio",Infekční onemocnění nervové soustavy
A838,Jiná virová encefalitida přenášená komáry,Infekční onemocnění nervové soustavy
A839,Virová encefalitida přenášená komáry NS,Infekční onemocnění nervové soustavy
A84,Virová encefalitida přenášená klíšťaty,
A840,Encefalitida dáln. vých. přenášená klíšťaty (ruská jarně-letní encef.),Infekční onemocnění nervové soustavy
A841,Středoevropská encefalitida přenášená klíšťaty,Infekční onemocnění nervové soustavy
A848,Jiná virová encefalitida přenášená klíšťaty,Infekční onemocnění nervové soustavy
A849,Virová klíšťová encefalitida NS,Infekční onemocnění nervové soustavy
A85,Jiná virová encefalitida nezařazená jinde,
A850,Enterovirová encefalitida (G05.1*),Infekční onemocnění nervové soustavy
