Kod,Nazev,Kategorie
V5954,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.;prov.neh.;odpoč.,jídlo",
V5958,"Cest.z dodávky,lehk.nák.auta x j. a NS mot.voz.;prov.neh.; j.urč.činn.",
V5959,"Cest.z dodávky,lehk.nák.auta x j.a NS mot.voz.;provoz.neh.;NS činnosti",
V596,"Neurč.čl.osádky dodávky,lehk.nák.auta x jiná a NS mot.voz.;provoz.neh.",
V5960,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.; provoz.nehoda; sport",
V5961,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;provoz.neh.;volný čas",
V5962,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;prov.neh.;výděl.činn.",
V5963,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;prov.neh.; jiné práce",
V5964,"NS člen dodávky,lehk.nák.auta x j.a NS mot.voz.;prov.neh.;odpoč.,jídlo",
V5968,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;prov.neh.;j.urč.činn.",
V5969,"NS člen dodávky,lehk.nák.auta x j. a NS mot.voz.;prov.neh.;NS činnosti",
V598,"Člen osádky dodávky, lehk.nákl.auta zran.při jiných urč.dopr. nehodách",
V5980,"Člen dodávky,lehk.nákl.auta zran.při jiné určené dopr. nehodě; sport",
V5981,"Člen dodávky,lehk.nákl.auta zran.při jiné určené dopr.nehodě;volný čas",
V5982,"Člen dodávky,lehk.nákl.auta zran.při jiné urč. dopr.neh.;výděl.činnost",
V5983,"Člen dodávky,lehk.nákl.auta zran.při jiné určené dopr.neh.;jiné práce",
V5984,"Člen dodávky,lehk.nákl.auta zran.při jiné urč.dopr.nehodě;odpoč.,jídlo",
V5988,"Člen dodávky,lehk.nákl.auta zran.při jiné urč.dopr.neh.;j.urč.činnosti",
V5989,"Člen dodávky,lehk.nákl.auta zran.při jiné urč. dopr.neh.; NS činnosti",
V599,"Člen (kterýk.) dodávky, lehk.nákl.auta zraněný při neurč.provoz.nehodě",
V5990,"Člen dodávky, lehk.nákl.auta zraněný při NS provozní nehodě; sport",
V5991,"Člen dodávky, lehk.nákl.auta zraněný při NS provoz. neh.; volný čas",
V5992,"Člen dodávky, lehk.nákl.auta zran. při NS provoz.neh.;výděl.činnost",
V5993,"Člen dodávky, lehk.nákl.auta zraněný při NS provoz.neh.; jiné práce",
V5994,"Člen dodávky, lehk.nákl.auta zran. při NS provoz.neh.; odpočinek,jídlo",
V5998,"Člen dodávky, lehk.nákl.auta zran.při NS prov. neh.; j.urč.činnosti",
V5999,"Člen dodávky, lehk.nákl.auta zran. při NS provoz.neh.; NS činnosti",
V60,Člen osádky těžkého nákladního vozidla zraněný při srážce s chodcem,
V600,Řidič těžk.nákl.auta x chodec; neprovozní nehoda,
V6000,Řidič těžk.nákl.auta x chodec; neprovozní nehoda; sport,
V6001,Řidič těžk.nákl.auta x chodec; neprovozní nehoda; volný čas,
V6002,Řidič těžk.nákl.auta x chodec; neprovoz.nehoda; výděl.činnost,
V6003,Řidič těžk.nákl.auta x chodec; neprovozní nehoda; jiné práce,
V6004,"Řidič těžk.nákl.auta x chodec; neprovoz.neh.; odpočinek,jídlo",
V6008,Řidič těžk.nákl.auta x chodec; neprovoz.neh.;jiné urč.činnosti,
V6009,Řidič těžk.nákl.auta x chodec; neprovozní nehoda; NS činnosti,
V601,Cestující z těžk.nákl.auta x chodec; neprovozní nehoda,
V6010,Cestující z těžk.nákl.auta x chodec; neprovozní nehoda; sport,
V6011,Cestující z těžk.nákl.auta x chodec; neprovoz.neh.; volný čas,
V6012,Cestující z těžk.nákl.auta x chodec; neprovoz.neh.; výděl.činnost,
V6013,Cestující z těžk.nákl.auta x chodec; neprovoz.neh.; jiné práce,
V6014,"Cestující z těžk.nákl.auta x chodec; neprovoz.neh.; odpočinek,jídlo",
V6018,Cestující z těžk.nákl.auta x chodec; neprovoz.neh.; j.urč.činnosti,
V6019,Cestující z těžk.nákl.auta x chodec; neprovoz.neh.; NS činnosti,
V602,Osoba vně těžk.nákl.auta x chodec; neprovozní nehoda,
V6020,Osoba vně těžk.nákl.auta x chodec; neprovozní nehoda; sport,
V6021,Osoba vně těžk.nákl.auta x chodec; neprovozní nehoda; volný čas,
V6022,Osoba vně těžk.nákl.auta x chodec; neprovoz.nehoda; výděl.činnost,
V6023,Osoba vně těžk.nákl.auta x chodec; neprovoz.nehoda; jiné práce,
V6024,"Osoba vně těžk.nákl.auta x chodec; neprovoz.neh.; odpočinek,jídlo",
V6028,Osoba vně těžk.nákl.auta x chodec; neprovoz.neh.;jiné urč.činnosti,
V6029,Osoba vně těžk.nákl.auta x chodec; neprovoz.neh.; NS činnosti,
V603,Neurčený člen osádky těžk.nákl.auta x chodec; neprovoz.nehoda,
V6030,Neurč.člen těžk.nákl.auta x chodec; neprovozní nehoda; sport,
V6031,Neurč.člen těžk.nákl.auta x chodec; neprovoz.nehoda;volný čas,
V6032,Neurč.člen těžk.nákl.auta x chodec; neprovoz.neh.; výděl.činnost,
V6033,Neurč.člen těžk.nákl.auta x chodec; neprovoz.neh.; jiné práce,
V6034,"Neurč.člen těžk.nákl.auta x chodec; neprovoz.neh.; odpočinek,jídlo",
V6038,Neurč.člen těžk.nákl.auta x chodec; neprovoz.neh.; jiné urč.činnosti,
V6039,Neurč.člen těžk.nákl.auta x chodec; neprovoz.neh.; NS činnosti,
V604,Člen těžk.nákl.auta zraněný při nastupování nebo vystupování x chodec,
V6040,"Člen těžk.nákl.auta zraněný při nastup., vystup. x chodec; sport",
V6041,"Člen těžk.nákl.auta zraněný při nastup., vystup. x chodec; volný čas",
V6042,"Člen těžk.nákl.auta zraněný při nastup.,vystup. x chodec;výděl.činnost",
V6043,"Člen těžk.nákl.auta zraněný při nastup., vystup. x chodec;jiné práce",
V6044,"Člen těžk.nákl.auta zraněný při nastup., vystup. x chodec;odpoč.,jídlo",
V6048,"Člen těžk.nákl.auta zran.při nastup.,vyst. x chodec; jiné urč.činnosti",
V6049,"Člen těžk.nákl.auta zraněný při nastup., vystup. x chodec; NS činnosti",
V605,Řidič těžk.nákl.auta x chodec; provozní nehoda,
V6050,Řidič těžk.nákl.auta x chodec; provozní nehoda; sport,
V6051,Řidič těžk.nákl.auta x chodec; provozní nehoda; volný čas,
V6052,Řidič těžk.nákl.auta x chodec; provozní nehoda; výděl.činnost,
V6053,Řidič těžk.nákl.auta x chodec; provozní nehoda; jiné práce,
V6054,"Řidič těžk.nákl.auta x chodec; provoz.nehoda; odpočinek,jídlo",
V6058,Řidič těžk.nákl.auta x chodec; provoz.nehoda; jiné urč.činnosti,
V6059,Řidič těžk.nákl.auta x chodec; provozní nehoda; NS činnosti,
V606,Cestující z těžk.nákl.auta x chodec; provozní nehoda,
V6060,Cestující z těžk.nákl.auta x chodec; provozní nehoda; sport,
V6061,Cestující z těžk.nákl.auta x chodec; provoz.nehoda; volný čas,
V6062,Cestující z těžk.nákl.auta x chodec; provoz.nehoda;výděl.činnost,
V6063,Cestující z těžk.nákl.auta x chodec; provoz.nehoda; jiné práce,
V6064,"Cestující z těžk.nákl.auta x chodec; provoz.nehoda; odpočinek,jídlo",
V6068,Cestující z těžk.nákl.auta x chodec; provoz.nehoda; jiné urč.činnosti,
V6069,Cestující z těžk.nákl.auta x chodec; provoz.nehoda; NS činnosti,
V607,Osoba vně těžk.nákl.auta x chodec; provozní nehoda,
V6070,Osoba vně těžk.nákl.auta x chodec; provozní nehoda; sport,
V6071,Osoba vně těžk.nákl.auta x chodec; provozní nehoda; volný čas,
V6072,Osoba vně těžk.nákl.auta x chodec; provoz.nehoda; výděl. činnost,
V6073,Osoba vně těžk.nákl.auta x chodec; provoz.nehoda; jiné práce,
V6074,"Osoba vně těžk.nákl.auta x chodec; provoz.nehoda; odpočinek,jídlo",
V6078,Osoba vně těžk.nákl.auta x chodec; provoz.nehoda; jiné urč.činnosti,
V6079,Osoba vně těžk.nákl.auta x chodec; provoz.nehoda; NS činnosti,
V609,Neurčený člen osádky těžk.nákl.auta x chodec; provozní nehoda,
V6090,Neurč.člen těžk.nákl.auta x chodec; provozní nehoda; sport,
V6091,Neurč.člen těžk.nákl.auta x chodec; provoz.nehoda; volný čas,
V6092,Neurč.člen těžk.nákl.auta x chodec; provoz.nehoda; výděl.činnost,
V6093,Neurč.člen těžk.nákl.auta x chodec; provoz.nehoda; jiné práce,
V6094,"Neurč.člen těžk.nákl.auta x chodec; provoz.nehoda; odpočinek,jídlo",
V6098,Neurč.člen těžk.nákl.auta x chodec; provoz.nehoda; jiné urč.činnosti,
V6099,Neurč.člen těžk.nákl.auta x chodec; provoz.nehoda; NS činnosti,
V61,Člen osádky těžk.nákl.auta zraněný při srážce s jízdním kolem,
V610,Řidič těžk.nákl.auta x jízdní kolo; neprovozní nehoda,
V6100,Řidič těžk.nákl.auta x jízdní kolo; neprovozní nehoda; sport,
V6101,Řidič těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; volný čas,
V6102,Řidič těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; výděl.činnost,
V6103,Řidič těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; jiné práce,
V6104,"Řidič těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; odpočinek,jídlo",
V6108,Řidič těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; jiné urč.činnosti,
V6109,Řidič těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; NS činnosti,
V611,Cestující z těžk.nákl.auta x jízdní kolo; neprovozní nehoda,
V6110,Cest.z těžk.nákl.auta x jízdní kolo; neprovozní nehoda; sport,
V6111,Cest.z těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; volný čas,
V6112,Cest.z těžk.nákl.auta x jízdní kolo; neprovoz.nehoda;výděl.činnost,
V6113,Cest.z těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; jiné práce,
V6114,"Cest.z těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; odpočinek,jídlo",
V6118,Cest.z těžk.nákl.auta x jízdní kolo; neprovoz.nehoda;jiné urč.činnosti,
V6119,Cest.z těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; NS činnosti,
V612,Osoba vně těžk.nákl.auta x jízdní kolo; neprovozní nehoda,
V6120,Osoba vně těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; sport,
V6121,Osoba vně těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; volný čas,
V6122,Osoba vně těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; výděl.činnost,
V6123,Osoba vně těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; jiné práce,
V6124,"Osoba vně těžk.nákl.auta x jízdní kolo; neprovoz.neh.; odpočinek,jídlo",
V6128,Osoba vně těžk.nákl.auta x jízdní kolo;neprovoz.neh.;jiné urč.činnosti,
V6129,Osoba vně těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; NS činnosti,
V613,Neurč.člen osádky těžk.nákl.auta x jízdní kolo;neprovoz.nehoda,
V6130,Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; sport,
V6131,Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.neh.;volný čas,
V6132,Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.neh.; výděl.činnost,
V6133,Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.neh.; jiné práce,
V6134,"Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.neh.;odpočinek,jídlo",
V6138,Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.neh.; j.urč.činnosti,
V6139,Neurč.člen těžk.nákl.auta x jízdní kolo; neprovoz.nehoda; NS činnosti,
V614,Člen těžk.nákl.auta zraněný při nastupování nebo vystup. x jízdní kolo,
V6140,"Člen těžk.nákl.auta zran.při nastup.,vystup. x jízdní kolo; sport",
V6141,"Člen těžk.nákl.auta zran.při nastup.,vystup. x jízdní kolo;volný čas",
V6142,"Člen těžk.nákl.auta zran.při nastup.,vyst. x jízdní kolo;výděl.činnost",
V6143,"Člen těžk.nákl.auta zran.při nastup.,vystup. x jízdní kolo; jiné práce",
V6144,"Člen těžk.nákl.auta zran.při nastup.,vyst. x jízdní kolo; odpoč.,jídlo",
V6148,"Člen těžk.nákl.auta zran.při nastup.,vyst. x jízd.kolo; j.urč.činnosti",
V6149,"Člen těžk.nákl.auta zran.při nastup.,vystup. x jízdní kolo;NS činnosti",
V615,Řidič těžk.nákl.auta x jízdní kolo; provozní nehoda,
V6150,Řidič těžk.nákl.auta x jízdní kolo; provozní nehoda; sport,
V6151,Řidič těžk.nákl.auta x jízdní kolo; provoz.nehoda; volný čas,
V6152,Řidič těžk.nákl.auta x jízdní kolo; provoz.nehoda; výděl.činnost,
V6153,Řidič těžk.nákl.auta x jízdní kolo; provoz.nehoda; jiné práce,
V6154,"Řidič těžk.nákl.auta x jízdní kolo; provoz.nehoda; odpočinek,jídlo",
V6158,Řidič těžk.nákl.auta x jízdní kolo; provoz.nehoda; jiné urč.činnosti,
V6159,Řidič těžk.nákl.auta x jízdní kolo; provoz.nehoda; NS činnosti,
V616,Cestující z těžk.nákl.auta x jízdní kolo; provozní nehoda,
V6160,Cestující z těžk.nákl.auta x jízdní kolo; provozní nehoda; sport,
V6161,Cestující z těžk.nákl.auta x jízdní kolo; provoz. nehoda; volný čas,
V6162,Cestující z těžk.nákl.auta x jízdní kolo; provoz.nehoda;výděl. činnost,
V6163,Cestující z těžk.nákl.auta x jízdní kolo; provoz.nehoda; jiné práce,
V6164,"Cestující z těžk.nákl.auta x jízdní kolo; provoz.neh.; odpočinek,jídlo",
V6168,Cestující z těžk.nákl.auta x jízdní kolo; provoz.neh.; j.urč.činnosti,
V6169,Cestující z těžk.nákl.auta x jízdní kolo; provoz.nehoda; NS činnosti,
V617,Osoba vně těžk.nákl.auta x jízdní kolo; provozní nehoda,
V6170,Osoba vně těžk.nákl.auta x jízdní kolo; provoz.nehoda; sport,
V6171,Osoba vně těžk.nákl.auta x jízdní kolo; provoz.neh.; volný čas,
V6172,Osoba vně těžk.nákl.auta x jízdní kolo; provoz.neh.;výděl.činnost,
V6173,Osoba vně těžk.nákl.auta x jízdní kolo; provoz.nehoda; jiné práce,
V6174,"Osoba vně těžk.nákl.auta x jízdní kolo; provoz.neh.; odpočinek,jídlo",
V6178,Osoba vně těžk.nákl.auta x jízdní kolo; provoz.neh.; jiné urč.činnosti,
V6179,Osoba vně těžk.nákl.auta x jízdní kolo; provoz.neh.; NS činnosti,
V619,Neurčený člen osádky těžk.nákl.auta x jízdní kolo; provozní nehoda,
V6190,Neurč.člen těžk.nákl.auta x jízdní kolo; provozní nehoda; sport,
V6191,Neurč.člen těžk.nákl.auta x jízdní kolo;provoz.nehoda; volný čas,
V6192,Neurč.člen těžk.nákl.auta x jízdní kolo;provoz.neh.; výděl.činnost,
V6193,Neurč.člen těžk.nákl.auta x jízdní kolo;provoz.neh.; jiné práce,
V6194,"Neurč.člen těžk.nákl.auta x jízdní kolo;provoz.neh.;odpočinek,jídlo",
V6198,Neurč.člen těžk.nákl.auta x jízdní kolo;provoz.neh.; jiné urč.činnosti,
V6199,Neurč.člen těžk.nákl.auta x jízdní kolo;provoz.neh.; NS činnosti,
V62,Člen osádky těžk.nákl.auta zraněný při srážce s 2-3kolovým motor.voz.,
V620,Řidič těžk.nákl.auta x 2-3kolové motor.voz.; neprovoz.nehoda,
V6200,Řidič těžk.nákl.auta x 2-3kol.mot.voz.; neprovoz.nehoda; sport,
V6201,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;volný čas,
V6202,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;výděl.činnost,
V6203,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.; jiné práce,
V6204,"Řidič těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;odpočinek,jídlo",
V6208,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;jiné urč.činnosti,
V6209,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;NS činnosti,
V621,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.; neprovoz.nehoda,
V6210,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.; neprovoz.neh.; sport,
V6211,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.; neprovoz.neh.; volný čas,
V6212,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;výděl.činn.,
V6213,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;jiné práce,
V6214,"Cest. z těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;odpočinek,jídlo",
V6218,Cest. z těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;j.urč.činnosti,
V6219,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;NS činnosti,
V622,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.; neprovozní nehoda,
V6220,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.; neprovoz.neh.; sport,
V6221,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.; volný čas,
V6222,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;výděl.činnost,
V6223,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;jiné práce,
V6224,"Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;odpoč.,jídlo",
V6228,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;j.urč.činn.,
V6229,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;NS činnosti,
V623,Neurčený člen těžk.nákl.auta x 2-3kol.mot.voz.; neprovozní nehoda,
V6230,NS člen těžk.nákl.auta x 2-3kol.mot.voz.; neprovoz.neh.; sport,
V6231,NS člen těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;volný čas,
V6232,NS člen těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;výděl.činnost,
V6233,NS člen těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;jiné práce,
V6234,"NS člen těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;odpočinek,jídlo",
V6238,NS člen těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.; j.urč.činnosti,
V6239,NS člen těžk.nákl.auta x 2-3kol.mot.voz.;neprovoz.neh.;NS činnosti,
V624,Člen těžk.nákl.auta zraněný při nastup. nebo vystup. x 2-3kol.mot.voz.,
V6240,"Člen těžk.nákl.auta zraněný při nast.,vyst. x 2-3kol.mot.voz.;sport",
V6241,"Člen těžk.nákl.auta zran. při nast.,vyst. x 2-3kol.mot.voz.; volný čas",
V6242,"Člen těžk.nákl.auta zran.při nast.,vyst. x 2-3kol.mot.voz.;výděl.činn.",
V6243,"Člen těžk.nákl.auta zran.při nast.,vyst. x 2-3kol.mot.voz.; jiné práce",
V6244,"Člen těžk.nákl.auta zran.při nast.,vyst. x 2-3kol.mot.voz.;odpoč.,jíd.",
V6248,"Člen těžk.nákl.auta zran.při nast.,vyst. x 2-3kol.mot.voz.;j.urč.činn.",
V6249,"Člen těžk.nákl.auta zran. při nast.,vyst. x 2-3kol.mot.voz.; NS činn.",
V625,Řidič těžk.nákl.auta x 2-3kol.mot.voz.; provozní nehoda,
V6250,Řidič těžk.nákl.auta x 2-3kol.mot.voz.; provoz.nehoda; sport,
V6251,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;provoz.nehoda; volný čas,
V6252,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;provoz.nehoda; výděl.činnost,
V6253,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;provoz.nehoda; jiné práce,
V6254,"Řidič těžk.nákl.auta x 2-3kol.mot.voz.;provoz.nehoda; odpočinek,jídlo",
V6258,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;provoz.nehoda;jiné urč.činnosti,
V6259,Řidič těžk.nákl.auta x 2-3kol.mot.voz.;provoz.nehoda; NS činnosti,
V626,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.; provozní nehoda,
V6260,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.; provoz.nehoda; sport,
V6261,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.; provoz.neh.;volný čas,
V6262,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;výděl.činnost,
V6263,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;jiné práce,
V6264,"Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;odpoč.,jídlo",
V6268,Cest. z těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;jiné urč.činnosti,
V6269,Cestující z těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.; NS činnosti,
V627,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.; provozní nehoda,
V6270,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.; provoz.nehoda; sport,
V6271,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.; volný čas,
V6272,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;výděl.činnost,
V6273,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;jiné práce,
V6274,"Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;odpočinek,jídlo",
V6278,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.; j.urč.činnosti,
V6279,Osoba vně těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.; NS činnosti,
V629,Neurčený člen těžk.nákl.auta x 2-3kolové motor.voz.; provozní nehoda,
V6290,Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.; provoz.nehoda; sport,
V6291,Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;volný čas,
V6292,Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;výděl.činnost,
V6293,Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.; jiné práce,
V6294,"Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;odpoč.,jídlo",
V6298,Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;j.urč.činnosti,
V6299,Neurč.člen těžk.nákl.auta x 2-3kol.mot.voz.;provoz.neh.;NS činnosti,
V63,Člen osádky těžk.nákl.auta zraněný při srážce s osobním automobilem,
V630,Řidič těžk.nákl.auta x osobní auto; neprovozní nehoda,
V6300,Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; sport,
V6301,Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; volný čas,
V6302,Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; výděl.činnost,
V6303,Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; jiné práce,
V6304,"Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; odpočinek,jídlo",
V6308,Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; jiné urč.činnosti,
V6309,Řidič těžk.nákl.auta x osobní auto; neprovoz.nehoda; NS činnosti,
V631,Cestující z těžk.nákl.auta x osobní auto; neprovozní nehoda,
V6310,Cestující z těžk.nákl.auta x osob.auto; neprovoz.neh.; sport,
V6311,Cestující z těžk.nákl.auta x osob.auto; neprovoz.neh.; volný čas,
V6312,Cestující z těžk.nákl.auta x osob.auto; neprovoz.neh.; výděl.činnost,
V6313,Cestující z těžk.nákl.auta x osob.auto; neprovoz.neh.; jiné práce,
V6314,"Cestující z těžk.nákl.auta x osob.auto; neprovoz.neh.; odpočinek,jídlo",
